candidate_id,rank,score,confidence,reasoning
CAND_0076251,27,0.883201,High (99%),"Match Confidence: High (99%) — Exposure to ranking pipelines with Learning to Rank and Learning to Rank; demonstrates strong relevance for ranking acumen. The candidate is relevant, though the 60-day notice period requires scheduling flexibility."
CAND_0055905,28,0.882856,High (99%),Match Confidence: High (99%) — Background in enterprise search systems utilizing Elasticsearch and OpenSearch; strong match for this role. The candidate's 30-day notice period is a hiring advantage.
CAND_0060054,29,0.882020,High (99%),Match Confidence: High (99%) — Ranking-system experience using Recommendation Systems and Recommendation Systems; strong fit for recommendation and retrieval optimization. The candidate's 15-day notice period is a hiring advantage.
CAND_0083307,30,0.881016,High (99%),"Match Confidence: High (99%) — Understanding of retrieval relevance and ranking heuristics utilizing Learning to Rank and Learning to Rank; strong alignment with team goals. Demonstrates the right skills, but carries a heavier 120-day availability burden."
CAND_0064326,31,0.878001,High (99%),Match Confidence: High (99%) — Demonstrated search engineering exposure through BM25 and BM25; provides strong relevance for search-oriented systems.
CAND_0046064,32,0.877472,High (99%),Match Confidence: High (99%) — Search infrastructure capabilities featuring BM25 and OpenSearch; strong candidate for the relevance engineering team. The candidate's 30-day notice period is a hiring advantage.
CAND_0026532,33,0.876455,High (99%),"Match Confidence: High (99%) — Exposure to scalable search infrastructure using Information Retrieval and Information Retrieval; strong fit for retrieval-focused role. The candidate is relevant, though the 90-day notice period requires scheduling flexibility."
CAND_0093912,34,0.876357,High (99%),Match Confidence: High (99%) — Relevant ranking and retrieval exposure using Recommendation Systems and Learning to Rank; strong fit for this engineering role. The candidate's 30-day notice period is a hiring advantage.
CAND_0055992,35,0.874293,High (99%),"Match Confidence: High (99%) — Background in enterprise search systems utilizing Information Retrieval and OpenSearch; strong match for this role. The candidate is relevant, though the 60-day notice period requires scheduling flexibility."
CAND_0041610,36,0.870901,High (99%),Match Confidence: High (99%) — Experience with ranking algorithms with Learning to Rank and Recommendation Systems; strong fit for relevance maximization. Fast availability (30 days) makes this profile actionable.
CAND_0044222,37,0.870402,High (99%),"Match Confidence: High (99%) — Search-stack background with OpenSearch and BM25; indicates strong product-system alignment. While technically sound, the 60-day notice period poses a slight logistical challenge."
CAND_0053591,38,0.869755,High (99%),"Match Confidence: High (99%) — Exposure to advanced search solutions using OpenSearch and BM25; shows strong positioning for a ranking-centric position. Good profile, but the 60-day availability is a minor drawback for urgent needs."
CAND_0069905,39,0.869026,High (99%),"Match Confidence: High (99%) — Experience with retrieval and ranking-related systems using Recommendation Systems and Learning to Rank; strong candidate for the recommendation systems team. A strong candidate, however the 90-day joining timeline is less than ideal."
CAND_0078492,40,0.868936,High (99%),Match Confidence: High (99%) — Ranking-system experience using Recommendation Systems and Recommendation Systems; strong fit for recommendation and retrieval optimization. Alignment with favorable joining timeline.
CAND_0030953,41,0.868828,High (99%),Match Confidence: High (99%) — Exposure to ranking components utilizing Learning to Rank and Learning to Rank; strong fit for core search optimization.
CAND_0058575,42,0.868103,High (99%),Match Confidence: High (99%) — Knowledge of learning-to-rank methodologies via Recommendation Systems and Recommendation Systems; strong match for the core mission. The 90-day notice period slightly reduces the immediate actionability.
CAND_0050454,43,0.867786,High (99%),Match Confidence: High (99%) — Experience building search engines with BM25 and BM25; provides strong alignment with core JD needs. The candidate's 30-day notice period is a hiring advantage.
CAND_0017960,44,0.867510,High (99%),"Match Confidence: High (99%) — Hands-on search infrastructure experience via Information Retrieval and Information Retrieval; strong fit for retrieval optimization tasks. Good profile, but the 60-day availability is a minor drawback for urgent needs."
CAND_0018499,45,0.866080,High (99%),Match Confidence: High (99%) — Experience with retrieval and ranking-related systems using Recommendation Systems and Learning to Rank; strong candidate for the recommendation systems team. The candidate's 15-day notice period is a hiring advantage.
CAND_0086151,46,0.864133,High (99%),"Match Confidence: High (99%) — Retrieval and ranking exposure through Recommendation Systems and Recommendation Systems; strong alignment with ranking-focused requirements. While technically sound, the 120-day notice period poses a slight logistical challenge."
CAND_0081686,47,0.853213,High (99%),"Match Confidence: High (99%) — Exposure to vector search optimization and indexing with FAISS and Milvus; strong fit for recommendation workflows. Demonstrates the right skills, but carries a heavier 60-day availability burden."
CAND_0043228,48,0.848061,High (99%),Match Confidence: High (99%) — Exposure to ranking components utilizing Learning to Rank and Learning to Rank; strong fit for core search optimization. The candidate's 30-day notice period is a hiring advantage.
CAND_0009024,49,0.846006,High (99%),Match Confidence: High (99%) — Retrieval and ranking exposure through Recommendation Systems and Recommendation Systems; strong alignment with ranking-focused requirements. Alignment with favorable joining timeline.
CAND_0077337,50,0.845227,High (99%),"Match Confidence: High (99%) — Experience with retrieval and ranking-related systems using Recommendation Systems and Recommendation Systems; strong candidate for the recommendation systems team. Technical relevance, though slightly weaker due to 60-day notice period."
CAND_0033179,51,0.837911,High (99%),Match Confidence: High (99%) — Exposure to scalable search infrastructure using OpenSearch and Information Retrieval; strong fit for retrieval-focused role. Alignment with favorable joining timeline.
CAND_0054123,52,0.837104,High (99%),Match Confidence: High (99%) — Exposure to vector search optimization and indexing with pgvector and Weaviate; strong fit for recommendation workflows. Technical strengths are somewhat offset by the 60-day notice requirement.
CAND_0018722,53,0.836231,High (99%),"Match Confidence: High (99%) — Experience with ranking algorithms with Recommendation Systems and Recommendation Systems; strong fit for relevance maximization. Good profile, but the 90-day availability is a minor drawback for urgent needs."
CAND_0052682,54,0.835727,High (99%),Match Confidence: High (99%) — Exposure to vector search optimization and indexing with FAISS and FAISS; strong fit for recommendation workflows. Alignment with favorable joining timeline.
CAND_0011687,55,0.835577,High (99%),Match Confidence: High (99%) — Search infrastructure capabilities featuring OpenSearch and OpenSearch; strong candidate for the relevance engineering team. Alignment with favorable joining timeline.
CAND_0005649,56,0.834919,High (99%),"Match Confidence: High (99%) — Experience with ranking algorithms with Recommendation Systems and Recommendation Systems; strong fit for relevance maximization. A strong candidate, however the 90-day joining timeline is less than ideal."
CAND_0036437,57,0.832742,High (99%),Match Confidence: High (99%) — Search-stack background with OpenSearch and Elasticsearch; indicates strong product-system alignment. The candidate's 30-day notice period is a hiring advantage.
CAND_0000031,58,0.832072,High (99%),"Match Confidence: High (99%) — Hands-on search infrastructure experience via Information Retrieval and Information Retrieval; strong fit for retrieval optimization tasks. A strong candidate, however the 60-day joining timeline is less than ideal."
CAND_0020877,59,0.831543,High (99%),"Match Confidence: High (99%) — Demonstrated search engineering exposure through Elasticsearch and OpenSearch; provides strong relevance for search-oriented systems. Demonstrates the right skills, but carries a heavier 60-day availability burden."
CAND_0016163,60,0.831115,High (99%),"Match Confidence: High (99%) — Experience with vector similarity search solutions using Weaviate and pgvector; strong positioning for this engineering team. A strong candidate, however the 120-day joining timeline is less than ideal."
CAND_0077285,61,0.830171,High (99%),Match Confidence: High (99%) — Experience building search engines with Information Retrieval and Information Retrieval; provides strong alignment with core JD needs. Technical strengths are somewhat offset by the 60-day notice requirement.
CAND_0018549,62,0.827346,High (99%),"Match Confidence: High (99%) — Exposure to advanced search solutions using Elasticsearch and OpenSearch; shows strong positioning for a ranking-centric position. Good profile, but the 60-day availability is a minor drawback for urgent needs."
CAND_0052335,63,0.822744,High (98%),"Match Confidence: High (98%) — Experience with retrieval and ranking-related systems using Learning to Rank and Learning to Rank; strong candidate for the recommendation systems team. Good profile, but the 60-day availability is a minor drawback for urgent needs."
CAND_0014440,64,0.819429,High (98%),Match Confidence: High (98%) — Search-stack background with Elasticsearch and Elasticsearch; indicates strong product-system alignment. The 60-day notice period slightly reduces the immediate actionability.
CAND_0039838,65,0.816765,High (97%),"Match Confidence: High (97%) — Background in enterprise search systems utilizing OpenSearch and OpenSearch; strong match for this role. Technical relevance, though slightly weaker due to 90-day notice period."
CAND_0040887,66,0.812992,High (97%),Match Confidence: High (97%) — Understanding of retrieval relevance and ranking heuristics utilizing Recommendation Systems and Recommendation Systems; strong alignment with team goals. Alignment with favorable joining timeline.
CAND_0008295,67,0.811263,High (97%),Match Confidence: High (97%) — Search infrastructure capabilities featuring BM25 and BM25; strong candidate for the relevance engineering team.
CAND_0010541,68,0.811240,High (97%),"Match Confidence: High (97%) — Exposure to scalable search infrastructure using BM25 and BM25; strong fit for retrieval-focused role. The candidate is relevant, though the 60-day notice period requires scheduling flexibility."
CAND_0031593,69,0.810926,High (97%),"Match Confidence: High (97%) — Exposure to ranking pipelines with Recommendation Systems and Recommendation Systems; demonstrates strong relevance for ranking acumen. The candidate is relevant, though the 90-day notice period requires scheduling flexibility."
CAND_0081053,70,0.805681,High (96%),"Match Confidence: High (96%) — Ranking-system experience using Learning to Rank and Learning to Rank; strong fit for recommendation and retrieval optimization. A strong candidate, however the 90-day joining timeline is less than ideal."
CAND_0008425,71,0.805133,High (96%),"Match Confidence: High (96%) — Experience with retrieval and ranking-related systems using Learning to Rank and Recommendation Systems; strong candidate for the recommendation systems team. A strong candidate, however the 90-day joining timeline is less than ideal."
CAND_0098952,72,0.804619,High (96%),Match Confidence: High (96%) — Ranking-system experience using Recommendation Systems and Recommendation Systems; strong fit for recommendation and retrieval optimization.
CAND_0039754,73,0.804344,High (96%),Match Confidence: High (96%) — Hands-on search-platform experience with OpenSearch and BM25; shows strong alignment with ranking-heavy JD. The candidate's 30-day notice period is a hiring advantage.
CAND_0076831,74,0.803036,High (96%),"Match Confidence: High (96%) — Exposure to scalable search infrastructure using BM25 and BM25; strong fit for retrieval-focused role. The candidate is relevant, though the 90-day notice period requires scheduling flexibility."
CAND_0057563,75,0.801207,High (96%),"Match Confidence: High (96%) — Hands-on search infrastructure experience via Elasticsearch and OpenSearch; strong fit for retrieval optimization tasks. Good profile, but the 60-day availability is a minor drawback for urgent needs."
CAND_0096172,76,0.800838,High (95%),Match Confidence: High (95%) — Shows relevant exposure to search relevance and indexing through OpenSearch and Elasticsearch; strong alignment for the role.
CAND_0043381,77,0.800307,High (95%),Match Confidence: High (95%) — Experience building search engines with BM25 and OpenSearch; provides strong alignment with core JD needs.
CAND_0002025,78,0.798698,High (95%),Match Confidence: High (95%) — Relevant ranking and retrieval exposure using Recommendation Systems and Recommendation Systems; strong fit for this engineering role. Alignment with favorable joining timeline.
CAND_0046132,79,0.796752,High (95%),Match Confidence: High (95%) — Exposure to advanced search solutions using Information Retrieval and Information Retrieval; shows strong positioning for a ranking-centric position. Alignment with favorable joining timeline.
CAND_0005311,80,0.796688,High (95%),Match Confidence: High (95%) — Experience with vector similarity search solutions using Qdrant and Qdrant; strong positioning for this engineering team. Alignment with favorable joining timeline.
CAND_0007412,81,0.796202,High (95%),Match Confidence: High (95%) — Exposure to ranking pipelines with Recommendation Systems and Recommendation Systems; demonstrates strong relevance for ranking acumen. The 120-day notice period slightly reduces the immediate actionability.
CAND_0030348,82,0.792699,High (94%),Match Confidence: High (94%) — Exposure to scalable search infrastructure using Elasticsearch and Elasticsearch; strong fit for retrieval-focused role.
CAND_0004402,83,0.792009,High (94%),"Match Confidence: High (94%) — Retrieval and ranking exposure through Learning to Rank and Learning to Rank; strong alignment with ranking-focused requirements. The candidate is relevant, though the 60-day notice period requires scheduling flexibility."
CAND_0049896,84,0.789609,High (94%),"Match Confidence: High (94%) — Exposure to scalable search infrastructure using Information Retrieval and Information Retrieval; strong fit for retrieval-focused role. The candidate is relevant, though the 90-day notice period requires scheduling flexibility."
CAND_0099806,85,0.788839,High (94%),Match Confidence: High (94%) — Demonstrated search engineering exposure through Elasticsearch and BM25; provides strong relevance for search-oriented systems. Alignment with favorable joining timeline.
CAND_0070485,86,0.788808,High (94%),"Match Confidence: High (94%) — Exposure to ranking pipelines with Recommendation Systems and Recommendation Systems; demonstrates strong relevance for ranking acumen. A solid fit, albeit constrained by a longer 120-day transition timeline."
CAND_0071974,87,0.788297,High (94%),Match Confidence: High (94%) — Retrieval and ranking exposure through Learning to Rank and Learning to Rank; strong alignment with ranking-focused requirements.
CAND_0011327,88,0.788288,High (94%),Match Confidence: High (94%) — Search-stack background with OpenSearch and OpenSearch; indicates strong product-system alignment. The 60-day notice period slightly reduces the immediate actionability.
CAND_0098846,89,0.782883,High (93%),Match Confidence: High (93%) — Understanding of retrieval relevance and ranking heuristics utilizing Recommendation Systems and Recommendation Systems; strong alignment with team goals.
CAND_0029367,90,0.782552,High (93%),"Match Confidence: High (93%) — Experience with retrieval and ranking-related systems using Recommendation Systems and Recommendation Systems; strong candidate for the recommendation systems team. A strong candidate, however the 90-day joining timeline is less than ideal."
CAND_0074735,91,0.781665,High (93%),"Match Confidence: High (93%) — Ranking-system experience using Learning to Rank and Learning to Rank; strong fit for recommendation and retrieval optimization. Technical relevance, though slightly weaker due to 90-day notice period."
CAND_0025640,92,0.781463,High (93%),Match Confidence: High (93%) — Experience with retrieval and ranking-related systems using Recommendation Systems and Recommendation Systems; strong candidate for the recommendation systems team. Alignment with favorable joining timeline.
CAND_0044855,93,0.779229,High (93%),"Match Confidence: High (93%) — Experience with retrieval and ranking-related systems using Learning to Rank and Learning to Rank; strong candidate for the recommendation systems team. A strong candidate, however the 60-day joining timeline is less than ideal."
CAND_0011162,94,0.777682,High (93%),"Match Confidence: High (93%) — Exposure to advanced search solutions using OpenSearch and OpenSearch; shows strong positioning for a ranking-centric position. A strong candidate, however the 90-day joining timeline is less than ideal."
CAND_0093883,95,0.775784,High (92%),"Match Confidence: High (92%) — Search infrastructure capabilities featuring BM25 and OpenSearch; strong candidate for the relevance engineering team. The candidate is relevant, though the 60-day notice period requires scheduling flexibility."
CAND_0079064,96,0.775378,High (92%),"Match Confidence: High (92%) — Experience with retrieval and ranking-related systems using Recommendation Systems and Recommendation Systems; strong candidate for the recommendation systems team. Good profile, but the 120-day availability is a minor drawback for urgent needs."
CAND_0094685,97,0.772699,High (92%),Match Confidence: High (92%) — Hands-on vector database management via Weaviate and pgvector; strong alignment with the search infrastructure needs.
CAND_0058688,98,0.771421,High (92%),Match Confidence: High (92%) — Hands-on search-platform experience with Information Retrieval and Information Retrieval; shows strong alignment with ranking-heavy JD. Alignment with favorable joining timeline.
CAND_0003977,99,0.764708,High (91%),Match Confidence: High (91%) — Exposure to ranking pipelines with Learning to Rank and Learning to Rank; demonstrates strong relevance for ranking acumen.
CAND_0091534,100,0.763774,High (91%),Match Confidence: High (91%) — Vector database exposure through Qdrant and Qdrant; strong fit for retrieval optimization. The candidate's 30-day notice period is a hiring advantage.
